Code	Waypoint Name	Url
GC55J05	Spring Road Geocache	http://www.geocaching.com/seek/cache_details.aspx?guid=236bb06f-2e75-4af4-9818-0478398f63ea
GC4HH93	H.appy H.unting	http://www.geocaching.com/seek/cache_details.aspx?guid=effe626a-9f45-4202-9436-3d22903c82ea
GC3RANK	MMA '12 Final	http://www.geocaching.com/seek/cache_details.aspx?guid=8c13af3f-60d3-4efa-b721-0f86c49a4a1a
GC3RCKG	Low Water Bridge #1	http://www.geocaching.com/seek/cache_details.aspx?guid=f1bae4fb-7ad9-4b22-a736-17279966de18
GC31H0D	2011589	http://www.geocaching.com/seek/cache_details.aspx?guid=87175bb3-6a57-477d-9a8f-ed0a234587a7
GC31GZZ	All cHewedUp	http://www.geocaching.com/seek/cache_details.aspx?guid=c866d8e9-7e74-445c-b5a0-740cc174257b
GC30XE7	Kickn Rox	http://www.geocaching.com/seek/cache_details.aspx?guid=e09557b3-e281-49fb-bfe7-19159ed9cc7a
GC30XE2	stop #2 rIP	http://www.geocaching.com/seek/cache_details.aspx?guid=5dc25c0e-30ed-44ef-8afa-fbf09c403809
GC313QA	up a tree with out a paddle	http://www.geocaching.com/seek/cache_details.aspx?guid=145e3593-c76f-48cc-974a-8b411fd1cf9a
GC2XX2E	Hanging out in Olean	http://www.geocaching.com/seek/cache_details.aspx?guid=96b36c5f-1061-4b28-8adb-3f0f1592ae44
GC48G0X	MOGA Re-Lived	http://www.geocaching.com/seek/cache_details.aspx?guid=b94091f5-eff0-4a3b-abe4-a9a021e16eff
GC48HVV	The Unseen Helper	http://www.geocaching.com/seek/cache_details.aspx?guid=4f486294-5f33-4da0-a62b-18c245d9dd8c
GC3G8RZ	Marvelious Moniteau	http://www.geocaching.com/seek/cache_details.aspx?guid=8383aade-fa53-4772-8a3a-b4e173fb211c
GC48HTY	M-I-C-K-E-Y   M-O-U-S-E	http://www.geocaching.com/seek/cache_details.aspx?guid=3acc6ee8-a75c-4dd0-9dea-b4a0c8393cf8
GC5058T	Keebler Wanna' Be	http://www.geocaching.com/seek/cache_details.aspx?guid=5a38deff-e6bf-41d0-bb19-aa0d3584438d
GC48ER2	The Bybee Hideout	http://www.geocaching.com/seek/cache_details.aspx?guid=e20e70ec-72e0-4bb6-a23b-cb553aabe061
GC3EQC3	Wolf Run Road	http://www.geocaching.com/seek/cache_details.aspx?guid=17ec5edc-10c0-4444-b05d-1d1fff1365b7
GC48AAF	Galerie	http://www.geocaching.com/seek/cache_details.aspx?guid=0d22cf7d-209b-4a6e-b26d-eb91ee4de215
GC3ECKQ	Procter Park 65018 Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=5cf42ef1-ebdb-46dd-9837-f653d32930c1
GC3DXNG	Smith Burke Park Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=9a46dec9-1757-4a90-9254-fea92fd228bb
GC3E34X	No-Pass RR Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=c81acc1f-2894-440a-a01d-55ad098d84ae
GC3G01A	Howard Round-About Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=4dcece15-a356-4c28-b647-7e5736a31fb5
GC505A3	Water - Water !!	http://www.geocaching.com/seek/cache_details.aspx?guid=f8bb6f29-6c1c-4a87-8573-f5f1d1498c4d
GC505FN	Tower View	http://www.geocaching.com/seek/cache_details.aspx?guid=4afe2955-8977-4d8f-840d-89bf8fda3dd0
GC503W6	Silent Centurion	http://www.geocaching.com/seek/cache_details.aspx?guid=7de0bb2f-182f-4196-81ef-b6770f934951
GC58FNZ	Brandywine by the Park	http://www.geocaching.com/seek/cache_details.aspx?guid=3cb85f27-7960-44b2-a4a8-0a105a3a27dd
GC505N9	Be Foxy	http://www.geocaching.com/seek/cache_details.aspx?guid=1ac3b6c6-2e58-44a0-a2f0-f0e20551e251
GC506VH	'W' Crossing	http://www.geocaching.com/seek/cache_details.aspx?guid=7fad4db1-4abc-4128-b7b3-f1cd34342dd4
GC3G235	Pat & Don's Corner Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=08aec680-8768-4007-a16f-b9c650b9776f
GC506W3	Willow Sub	http://www.geocaching.com/seek/cache_details.aspx?guid=0282a87d-c308-41b6-9552-0a5ab3bede8a
GC50C59	T.O.M.	http://www.geocaching.com/seek/cache_details.aspx?guid=0fc1f95a-718d-4c98-9290-a9861454b5b9
GC507N5	Seed House Burrow's Delight	http://www.geocaching.com/seek/cache_details.aspx?guid=7e8e8d20-4eb1-4773-9fea-e56bf53c7dc7
GC50C4R	Seed & Tea Corner	http://www.geocaching.com/seek/cache_details.aspx?guid=37597df0-a9a1-429d-8beb-9fd7cab585f3
GC509QK	Tea for 2 on 12	http://www.geocaching.com/seek/cache_details.aspx?guid=87b559b9-b7bb-4d35-a3e7-ce4fa548a05b
GC50BNV	Ye Old Corner	http://www.geocaching.com/seek/cache_details.aspx?guid=44f9d624-14e9-4b79-bd50-60105c07d28c
GC50BQT	Old  Twelve and Tipton	http://www.geocaching.com/seek/cache_details.aspx?guid=d739eaa9-5ce3-418c-a1a4-22832058671f
GC1NV3V	Lamine River View	http://www.geocaching.com/seek/cache_details.aspx?guid=879369fd-d3c8-4346-88f1-56a7a4fc5107
GC26TVB	Lamine River View South	http://www.geocaching.com/seek/cache_details.aspx?guid=1ab0c850-9f3c-437d-a806-4e7717682be5
GC1KCV9	X's and O's We Love Caching	http://www.geocaching.com/seek/cache_details.aspx?guid=8bdd068f-775a-4e81-bd0e-0a67df4cb13c
GC455H7	A walk to the river	http://www.geocaching.com/seek/cache_details.aspx?guid=ae40e2c3-761e-4d97-b966-e56869b18626
GC46DYR	Coopers Loop	http://www.geocaching.com/seek/cache_details.aspx?guid=d77d872d-cd30-4e45-8690-0f4f23355db5
GC11ZCZ	Lil' Ol' Micro In The Wood	http://www.geocaching.com/seek/cache_details.aspx?guid=aaf24f08-f7b7-4702-97d6-c59e3cbe9c09
GC23KVW	Old North Bridge	http://www.geocaching.com/seek/cache_details.aspx?guid=d971d2cd-2c58-4ad9-ba31-5703c93ad093
GC302PW	Otterville Cemetery Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=67418a8f-4c69-4125-9d61-6d9f1814a94d
GCXZQZ	Hanging Out In Otterville	http://www.geocaching.com/seek/cache_details.aspx?guid=91b65d59-6343-4c78-bcec-5d83d5a5558f
GC1E8QB	Clifton City Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=27ea918b-31af-474e-943a-17dcef69a540
GC47EQP	Ole Rabbit Trap.	http://www.geocaching.com/seek/cache_details.aspx?guid=491397a7-7eff-42d3-a644-ab945c88703c
GC47EX1	Bird Home	http://www.geocaching.com/seek/cache_details.aspx?guid=c20d87ae-ce0f-4c65-8ad7-a845def98332
GC41KKY	3 of a kind with wild cards	http://www.geocaching.com/seek/cache_details.aspx?guid=1d095fd0-8527-4cac-a8b1-ba278788be0d
GC41KM8	3 of a kind 8's	http://www.geocaching.com/seek/cache_details.aspx?guid=341bdc23-9588-44d3-b0ea-5f183046f961
GC41KMH	3 of a kind 6's	http://www.geocaching.com/seek/cache_details.aspx?guid=23454bb2-48c3-474e-aa45-a61c47496b0c
GC4MWKZ	Watching Over Us	http://www.geocaching.com/seek/cache_details.aspx?guid=6a128cb7-6033-4695-9b03-671decaae5ef
GC1E8QF	JJ's Cache	http://www.geocaching.com/seek/cache_details.aspx?guid=0429b705-216f-4f00-b05d-d71e8be321e1
GC4MWKR	Providence Cemetery	http://www.geocaching.com/seek/cache_details.aspx?guid=3d049def-96a9-4993-96b9-d13b84ea327a
GC1T1VM	little black box	http://www.geocaching.com/seek/cache_details.aspx?guid=f37ed18d-faa5-4792-b19e-fa1b6e907f7a
GC4MWKM	Smithton Cemetery	http://www.geocaching.com/seek/cache_details.aspx?guid=a50caffc-aa68-49af-abe7-aceac02b5e10
GC30FM5	Black Tail's Tale	http://www.geocaching.com/seek/cache_details.aspx?guid=2f847656-0e30-40c0-bd56-372b454a5460
GC3RCMY	Low Water Bridge #2	http://www.geocaching.com/seek/cache_details.aspx?guid=2b825834-fc14-4ed9-acb3-8ef9c56f9b25
